㐄	kuà	component in Chinese	component in Chinese characters, mirror image of 夂[zhǐ]
㐅	wǔ	archaic variant of 五	archaic variant of 五[wǔ]
㐆	yǐn	component in Chinese	component in Chinese character 殷[yīn]
㐌	tā	variant of 它	variant of 它[tā]
㐖	xié	see 㐖毒	see 㐖毒[Xié​dú]
㐜	chóu	variant of 仇	variant of 仇[chóu]
㐡	nuò	archaic variant of 懦	archaic variant of 懦[nuò]
㐤	qiú	archaic variant of 求	archaic variant of 求[qiú]
㐫	xiōng	old variant of 凶	old variant of 凶[xiōng]
㐰	xìn	old variant of 信	old variant of 信[xìn]
㐺	zhòng	old variant of 眾|众	old variant of 眾|众[zhòng]
㑇	zhòu	beautiful, clever	(old) beautiful; clever
俊	jùn; zùn	smart, eminent, handsome	smart; eminent; handsome; talented; (dialectal pronunciation of 俊[jùn]); cool; neat; old variant of 俊[jùn]; variant of 俊[jùn]
㒳	liǎng	old variant of 兩|两	old variant of 兩|两[liǎng]
㒸	suì	archaic variant of 遂	archaic variant of 遂[suì]
罔	wǎng	to deceive, there is none	to deceive; there is none; old variant of 網|网[wǎng]; old variant of 罔[wǎng]
寇	kòu	to invade, to plunder, bandit	to invade; to plunder; bandit; foe; enemy; old variant of 寇[kòu]
㔾	jié	"seal" radical in Chinese	"seal" radical in Chinese characters (Kangxi radical 26)
却	què	but, yet, to decline	but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though; old variant of 卻|却[què]
厨	chú	kitchen	old variant of 廚|厨[chú]; kitchen
㕥	shēn	old variant of 呻	old variant of 呻[shēn]
以	yǐ; Yǐ	to use, by means of	to use; by means of; according to; in order to; because of; at (a certain date or place); old variant of 以[yǐ]; abbr. for Israel 以色列[Yǐ​sè​liè]
㕯	nè	old variant of 訥|讷	old variant of 訥|讷[nè]
㕻	pǒu	variant of 咅	variant of 咅[pǒu]; also pr. [tòu]
㗂	shěng	to examine, to watch, to scour	variant of 省[shěng]; tight-lipped; to examine; to watch; to scour (esp. Cantonese)
㗎	jià	sentence-final particle	sentence-final particle, contraction of "嘅呀" (Cantonese); see also 嘅[kài]
坳	ào	cavity, hollow, a depression	a depression; cavity; hollow; variant of 坳[ào]
㚻	jī	see 㚻姦|㚻奸	see 㚻姦|㚻奸[jī​jiān]
㛂	nuǒ	graceful, frail and petite	graceful; frail and petite
㝄	chún	old variant of 純|纯	old variant of 純|纯[chún]
㝇	chún	old variant of 鶉|鹑	old variant of 鶉|鹑[chún]
宿	sù; xiǔ; Sù; xiù	old, former	lodge for the night; old; former; old variant of 宿[sù]; night; classifier for nights; surname Su; constellation
冥	míng	dark, deep, stupid	dark; deep; stupid; the underworld; old variant of 冥[míng]
最	zuì	most, the most, -est	most; the most; -est (superlative suffix); variant of 最[zuì]; old variant of 最[zuì]
㝵	dé; ài	to obtain	to obtain; old variant of 得[dé]; variant of 礙|碍[ài]
㞎	bǎ	poop	(baby talk) poop; see 㞎㞎[bǎ​ba]
㞗	qiú	penis, dick	(dialect) penis; dick
㞙	niào	old variant of 尿	old variant of 尿[niào]
𪨊	sóng	semen, weak and incompetent	(coll.) semen; weak and incompetent
岸	àn	bank, shore, beach, coast	bank; shore; beach; coast; CL:個|个[gè]; variant of 岸[àn]
岛	dǎo	island	island; CL:個|个[gè],座[zuò]; variant of 島|岛[dǎo]
帆	fān	to gallop, sail	to gallop; Taiwan pr. [fán]; variant of 帆[fān]; sail; Taiwan pr. [fán], except 帆布[fān​bù] canvas
帽	mào	hat, cap	hat; cap; old variant of 帽[mào]
廉	lián; Lián	honest, to investigate	incorruptible; honest; inexpensive; to investigate (old); side wall of a traditional Chinese house (old); old variant of 廉[lián]; surname Lian
迥	jiǒng	distant	variant of 迥[jiǒng]; distant; old variant of 迥[jiǒng]
㢲	xùn	variant of 巽	variant of 巽[xùn]
㢴	xī	old variant of 西	old variant of 西[xī]
㤅	ài	archaic variant of 愛|爱	archaic variant of 愛|爱[ài]
恩	ēn	favor, grace, kindness	favor; grace; kindness; variant of 恩[ēn]
㥁	dé	variant of 德	variant of 德[dé]
㥏	tiǎn	ashamed	ashamed
惬	qiè	cheerful, satisfied	cheerful; satisfied; variant of 愜|惬[qiè]
㥯	yǐn	cautious	cautious
㦂	cháng	old variant of 常	old variant of 常[cháng]
㧯	lǎo	to lift	round-bottomed wicker basket; (dialect) to lift; to carry on one's shoulder
拿	ná	to hold, to seize, to catch	to hold; to seize; to catch; to apprehend; to take; (used in the same way as 把[bǎ]: to mark the following noun as a direct object); old variant of 拿[ná]; variant of 拿[ná]
㨃	duǐ	variant of 懟|怼	variant of 懟|怼[duǐ]
捷	jié; Jié	victory, triumph, quick	victory; triumph; quick; nimble; prompt; variant of 捷[jié]; Czech; Czech Republic; abbr. for 捷克[Jié​kè]
晃	huàng; huǎng	to sway, to shake	to sway; to shake; to wander about; to dazzle; to flash past; variant of 晃[huǎng]
据	jù; jū	to seize, to depend on	according to; to act in accordance with; to depend on; to seize; to occupy; variant of 據|据[jù]; see 拮据[jié​jū]
㩐	dèn	variant of 扽	variant of 扽[dèn]
携	xié	to carry, to hold	to carry; to take along; to bring along; to hold (hands); also pr. [xī]; old variant of 攜|携[xié]
㨫	lǎn	variant of 擥	variant of 擥[lǎn]
㪃	hé	to beat, to hit	to beat; to hit
㪋	hàn	variant of 捍	variant of 捍[hàn]
散	sàn; sǎn	to scatter, to disperse	to scatter; to break up (a meeting etc); to disperse; to disseminate; to dispel; (coll.) to sack; scattered; loose; to come loose; to fall apart; leisurely; powdered medicine; variant of 散[sàn]
敦	dūn	kindhearted, place name	kindhearted; place name; variant of 敦[dūn]
㫺	xī	old variant of 昔	old variant of 昔[xī]
暖	nuǎn	to warm, warm	warm; to warm; old variant of 暖[nuǎn]; variant of 暖[nuǎn]; variant of 暖[nuǎn], warm
㬎	xiǎn	visible, apparent	old variant of 顯|显[xiǎn]; visible; apparent
㮎	bēi	variant of 杯	variant of 杯[bēi]
㮚	lì	old variant of 栗	old variant of 栗[lì]
㮸	sòng	variant of 送	variant of 送[sòng]
橹	lǔ	scull	variant of 櫓|橹[lǔ]; old variant of 櫓|橹[lǔ]; scull (single oar worked from side to side over the stern of a boat) (free word)
㯳	qíng	variant of 檠	variant of 檠[qíng]
饮	yǐn; yìn	to drink	old variant of 飲|饮[yǐn]; to drink; to give (animals) water to drink
㱾	gāi	a kind of metal or jade	a kind of metal or jade ornament worn in ancient times to ward off evil spirits
㲈	sháo; táo	variant of 韶	variant of 韶[sháo]; variant of 鞀|鼗[táo]
㲋	chuò	ancient name for an animal	ancient name for an animal similar to rabbit but bigger
㲱	liè	old variant of 鬣	old variant of 鬣[liè]
㲾	yǔ	old variant of 雨	old variant of 雨[yǔ]
㳂	yán	variant of 沿	variant of 沿[yán]
涎	xián	saliva	variant of 涎[xián]; saliva
法	fǎ; Fǎ	law, method, way, Legalist	law; method; way; Buddhist teaching; Legalist; old variant of 法[fǎ]; variant of 法[fǎ]; France; French; abbr. for 法國|法国[Fǎ​guó]; Taiwan pr. [Fà]
㳮	niào	old variant of 尿	old variant of 尿[niào]
深	shēn	deep, depth, deeply, dark	deep; depth; deeply; (of a color) dark; rich; old variant of 深[shēn]
涧	jiàn	mountain stream	variant of 澗|涧[jiàn]; mountain stream
㵪	xián	variant of 涎	variant of 涎[xián]
㵮	chún	clear water	clear water
㶸	xié	precise meaning unknown	(precise meaning unknown, relates to iron); variant of 協|协[xié]
㷖	zhào	old variant of 照	old variant of 照[zhào]
㷭	fēng	old variant of 烽	old variant of 烽[fēng]
㹠	tún	old variant of 豚	old variant of 豚[tún]
㹢	jiā	see 玃	see 玃[jué]
㹴	gěng	fierce dog	fierce dog
㺢	huò	see 㺢㹢狓	see 㺢㹢狓[huò​jiā​pī]
㺵	jiǔ	black jade	variant of 玖[jiǔ]; black jade
㻽	xuán	variant of 璿|璇	variant of 璿|璇[xuán]; also pr. [suì]
碗	wǎn	bowl, cup	bowl; cup; CL:隻|只[zhī],個|个[gè]; variant of 碗[wǎn]
留	liú	to leave, to retain, to stay	to leave (a message etc); to retain; to stay; to remain; to keep; to preserve; old variant of 留[liú]
㽮	xīng	old variant of 星	old variant of 星[xīng]
瘪	biě	deflated, shriveled, sunken	deflated; shriveled; sunken; empty; variant of 癟|瘪[biě]
㿝	xiāng	old variant of 香	old variant of 香[xiāng]
䂖	shí	variant of 石	variant of 石[shí]
䂲	fǎ	variant of 砝	variant of 砝[fǎ]
䂶	jié	variant of 蜐	variant of 蜐[jié]
䃉	mín	old variant of 珉	old variant of 珉[mín]
䅵	zhuó	chaff, bran	chaff; bran
䇲	cè	variant of 筴|策	variant of 筴|策[cè]
