覀	覀 is a character component that does not have any meaning on its own. Represents two hands grabbing a waist in the character 要.	[]
好	It is good (好) for a woman (女) and her child (子) to be together.	[{"char":"女","type":"meaning","pinyin":"nǚ; rǔ","definition":"woman; female"},{"char":"子","type":"meaning","pinyin":"zǐ; zi","definition":"son; child"}]
女	Pictograph of a woman. Depicts a stick-figure with breasts sitting or squatting down.	[]
子	Pictograph of a small child with its two arms outstretched.	[]
是	Origin unclear.	[{"char":"旦","type":"unknown","notes":"The purpose of this component is unclear.","pinyin":"dàn","definition":"dawn; morning"},{"char":"龰","type":"sound","notes":"龰 is a component form of 止.","pinyin":"zhǐ","definition":"(foot); stop"}]
止	Pictograph of a foot. The meaning of this character has shifted over time and now means "stop".	[]
的	Phonosemantic compound. 白 represents the meaning and 勺 represents the sound. The character is based on the original meaning "bright white", which is unrelated to the modern meaning.	[{"char":"白","type":"meaning","pinyin":"bái","definition":"white"},{"char":"勺","type":"sound","notes":"The pronunciation of 的 was similar to 勺 in old Chinese, but they no longer sound similar in modern Mandarin due to historical phonetic changes.","pinyin":"sháo","definition":"spoon; ladle"}]
白	Origin unclear. Used in ancient texts to mean "white" and "hundred" (百).	[]
勺	Pictograph of a ladle.	[]
我	Pictograph of a weapon or farming tool with a forked blade and long handle. The meaning "I; me" is a phonetic loan.	[{"char":"戈","type":"iconic","pinyin":"gē","definition":"dagger-axe"}]
戈	Pictograph of a weapon with a long shaft and horizontal blade.	[]
了	Pictograph of a young child, similar to 子 but without arms. Relation to meaning uncertain. Sometimes explained as a derivation from 子 by cutting off the arms, depicting something being cut short or finished.	[]
不	Pictograph of sepals of a flower. The meaning "no" is a phonetic loan.	[]
一	A single horizontal stroke, representing the number one.	[]
二	Two horizontal strokes, representing the number two.	[]
三	Three horizontal strokes, representing the number three.	[]
你	Phonosemantic compound. 亻 represents the meaning and 尔 represents the sound.	[{"char":"亻","type":"meaning","notes":"亻 is a component form of 人.","pinyin":"rén","definition":"person"},{"char":"尔","type":"sound","notes":"The pronunciation of 你 was similar to 尔 in old Chinese, but they no longer sound similar in modern Mandarin due to historical phonetic changes. 尔 also serves as a meaning component.","pinyin":"ěr","definition":"you (archaic)"}]
人	Pictograph of the side view of a person.	[]
爾	Origin unclear. Used in ancient texts to mean "you".	[]
尔	Simplified form of 爾. Origin unclear. Used in ancient texts to mean "you".	[]
百	Phonosemantic compound. 一 represents the meaning and 白 represents the sound.	[{"char":"一","type":"meaning","pinyin":"yī","definition":"one"},{"char":"白","type":"sound","pinyin":"bái","definition":"white"}]
才	Pictograph of a small plant starting to emerge from the ground. Based on the original meaning "to sprout". The meaning of this character has shifted over time and now means "talent".	[]
土	Pictograph of a lump of clay on a pottery wheel.	[]
士	Pictograph of the head of an axe. Likely used to represent a military officer.	[]
在	Origin unclear.	[{"char":"才","type":"sound","pinyin":"cái","definition":"talent; just"},{"char":"士","type":"unknown","notes":"The purpose of this component is unclear. The modern form of this component looks like 土, but originally it was written as 士.","pinyin":"shì","definition":"soldier; scholar"}]
言	Pictograph of a tongue sticking out of a mouth. In old scripts written the same as 舌 but with an extra line.	[{"char":"◎","type":"iconic","notes":"Depicts sound coming out of the mouth.","pinyin":"xx","definition":"characterless component"},{"char":"舌","type":"iconic","pinyin":"shé","definition":"tongue"}]
舌	Pictograph of a tongue sticking out of a mouth, with a splatter of spit at the end.	[{"char":"◎","type":"iconic","notes":"Depicts a tongue.","pinyin":"xx","definition":"characterless component"},{"char":"口","type":"iconic","pinyin":"kǒu","definition":"mouth"}]
口	Pictograph of a mouth.	[]
行	Pictograph of a street intersection.	[]
文	Pictograph of a man with writing (possibly a tattoo) on his chest. In later scripts the writing was abbreviated to a dot or omitted altogether.	[]
辵	This character very rarely appears by itself. It is generally used as a component in other characters written as 辶.	[{"char":"彳","type":"meaning","notes":"彳 is a component form of 行.","pinyin":"chì","definition":"walk; travel"},{"char":"龰","type":"meaning","notes":"龰 is a component form of 止.","pinyin":"zhǐ","definition":"(foot); stop"}]
這	Phonosemantic compound. 辶 represents the meaning and 言 represents the sound. The character is based on the original meaning "to meet", which is unrelated to the modern meaning.	[{"char":"辶","type":"meaning","notes":"辶 is a component form of 辵.","pinyin":"chuò","definition":"walk; move"},{"char":"言","type":"sound","notes":"The pronunciation of 這 was similar to 言 in old Chinese, but they no longer sound similar in modern Mandarin due to historical phonetic changes.","pinyin":"yán","definition":"speech"}]
